gene	cluster
RP5-956O18.2	K5
COG2	K3
C1orf198	K4
TTC13	K2
ARV1	K3
FAM89A	K2
C1orf131	K3
GNPAT	K3
SPRTN	K3
EGLN1	K3
RP11-295G20.2	K2
TSNAX-DISC1	K5
TSNAX	K3
DISC1	K1
SIPA1L2	K1
MAP10	K2
NTPCR	K2
PCNXL2	K1
MLK4	K2
RP5-827C21.4	K1
COA6	K2
TARBP1	K2
RP5-855F14.1	K5
IRF2BP2	K1
LINC01132	K2
RP11-443B7.1	K1
RP4-597N16.4	K5
TOMM20	K2
RBM34	K3
ARID4B	K5
GGPS1	K1
TBCE	K2
B3GALNT2	K2
LYST	K1
NID1	K2
GPR137B	K1
ERO1LB	K1
EDARADD	K1
LGALS8	K3
LGALS8-AS1	K5
RP11-385F5.5	K1
HEATR1	K2
MTR	K3
CHRM3	K1
RP11-527D7.1	K5
FH	K3
OPN3	K1
CHML	K3
EXO1	K3
RP11-561I11.4	K5
CEP170	K2
SDCCAG8	K3
AKT3	K1
ZBTB18	K1
ADSS	K2
DESI2	K3
HNRNPU	K2
RP11-11N7.4	K5
RP11-156E8.1	K1
SMYD3	K2
TFB2M	K2
CNST	K1
RP11-439E19.9	K1
SCCPDH	K3
RP11-439E19.10	K1
AHCTF1	K3
ZNF670	K3
ZNF695	K2
ZNF669	K3
ZNF124	K2
RP11-488L18.10	K3
RP11-488L18.8	K2
ZNF496	K2
NLRP3	K1
GCSAML	K1
OR6F1	K5
TRIM58	K5
OR2W3	K5
OR2T8	K5
OR2AJ1	K5
OR2L13	K1
OR2T33	K5
SH3BP5L	K1
ZNF672	K4
ZNF692	K3
PGBD2	K3
SH3YL1	K3
ACP1	K4
FAM150B	K4
TMEM18	K3
TSSC1	K3
TRAPPC12	K3
TRAPPC12-AS1	K3
ADI1	K2
AC108488.4	K2
RNASEH1	K2
RNASEH1-AS1	K2
COLEC11	K5
AC017076.5	K5
CMPK2	K4
RSAD2	K5
RP11-439M11.1	K4
RNF144A	K3
LINC00299	K5
AC011747.4	K5
AC011747.7	K5
ID2	K5
RP11-434B12.1	K5
KIDINS220	K5
MBOAT2	K4
ASAP2	K1
ITGB1BP1	K3
CPSF3	K3
IAH1	K3
ADAM17	K2
YWHAQ	K3
TAF1B	K3
RP11-95D17.1	K3
GRHL1	K4
RP11-254F7.2	K5
KLF11	K3
RRM2	K3
C2orf48	K4
HPCAL1	K1
ODC1	K5
RP11-320M2.1	K2
NOL10	K2
ATP6V1C2	K2
RP11-791G15.2	K1
PDIA6	K2
PQLC3	K2
ROCK2	K1
LINC00570	K5
E2F6	K2
LPIN1	K2
TRIB2	K2
NBAS	K3
DDX1	K3
MYCN	K1
FAM49A	K1
SMC6	K3
GEN1	K3
RDH14	K1
NT5C1B	K1
LINC00954	K2
TTC32	K3
WDR35	K2
LAPTM4A	K1
SDC1	K2
PUM2	K4
RHOB	K4
HS1BP3	K5
C2orf43	K3
ATAD2B	K4
UBXN2A	K3
MFSD2B	K4
C2orf44	K3
FKBP1B	K4
SF3B14	K2
FAM228B	K4
TP53I3	K2
ITSN2	K3
NCOA1	K5
PTRHD1	K3
CENPO	K3
ADCY3	K3
RP11-443B20.1	K3
DNAJC27	K5
DNAJC27-AS1	K5
RP11-458N5.1	K1
DNMT3A	K1
DTNB	K2
ASXL2	K3
KIF3C	K2
AC013449.1	K1
RAB10	K5
GAREML	K3
HADHB	K3
GPR113	K1
EPT1	K2
DRC1	K5
SLC35F6	K5
CENPA	K4
MAPRE3	K2
TMEM214	K2
AGBL5	K3
RP11-503P10.1	K1
RP11-195B17.1	K5
OST4	K1
EMILIN1	K1
KHK	K2
CGREF1	K1
ABHD1	K1
PREB	K3
SLC5A6	K2
ATRAID	K3
CAD	K2
MPV17	K3
GTF3C2	K2
AC074117.10	K1
EIF2B4	K2
SNX17	K2
ZNF513	K1
PPM1G	K3
NRBP1	K5
IFT172	K2
C2orf16	K2
ZNF512	K3
CCDC121	K3
GPN1	K2
SUPT7L	K3
SLC4A1AP	K3
MRPL33	K2
RBKS	K2
BRE	K3
FOSL2	K5
RP11-373D23.3	K5
PLB1	K1
AC097724.3	K3
PPP1CB	K5
SPDYA	K4
TRMT61B	K3
WDR43	K2
FAM179A	K1
CLIP4	K5
ALK	K5
AC016907.3	K5
YPEL5	K5
LBH	K4
AC109642.1	K5
LCLAT1	K3
GALNT14	K1
EHD3	K1
MEMO1	K1
DPY30	K3
SPAST	K3
RP11-563N4.1	K2
SLC30A6	K3
NLRC4	K1
YIPF4	K5
BIRC6	K3
TTC27	K2
LTBP1	K3
RASGRP3	K5
FAM98A	K2
FEZ2	K2
HEATR5B	K3
EIF2AK2	K3
CEBPZ-AS1	K3
CEBPZ	K2
NDUFAF7	K2
PRKD3	K1
QPCT	K1
CDC42EP3	K1
RMDN2	K3
CYP1B1	K3
CYP1B1-AS1	K3
ATL2	K4
HNRNPLL	K3
GALM	K1
SRSF7	K3
GEMIN6	K3
DHX57	K3
MORN2	K3
SOS1	K3
MAP4K3	K2
AC007246.3	K2
THUMPD2	K3
PKDCC	K4
EML4	K2
COX7A2L	K3
MTA3	K3
OXER1	K1
HAAO	K1
THADA	K3
ZFP36L2	K3
PLEKHH2	K2
DYNC2LI1	K2
LRPPRC	K2
PPM1B	K4
SLC3A1	K4
PREPL	K3
CAMKMT	K3
SRBD1	K3
PRKCE	K1
EPAS1	K1
ATP6V1E2	K2
RHOQ	K1
RP11-417F21.1	K1
PIGF	K3
CRIPT	K5
SOCS5	K1
RP11-333I13.1	K5
AC016722.4	K1
MCFD2	K2
TTC7A	K3
C2orf61	K5
CALM2	K3
EPCAM	K2
MSH2	K3
KCNK12	K2
MSH6	K3
FBXO11	K1
AC079807.2	K5
AC079807.4	K4
FOXN2	K3
PPP1R21	K3
STON1	K1
GPR75-ASB3	K1
CHAC2	K4
GPR75	K1
PSME4	K5
ACYP2	K4
RP11-477N3.1	K4
SPTBN1	K1
EML6	K1
RTN4	K1
CLHC1	K2
RPS27A	K3
MTIF2	K3
CCDC88A	K3
AC012358.8	K1
CCDC104	K3
SMEK2	K3
PNPT1	K3
VRK2	K3
FANCL	K3
LINC01122	K1
AC007381.3	K5
AC007381.2	K5
BCL11A	K4
AC009970.1	K4
PAPOLG	K4
REL	K2
PUS10	K3
PEX13	K3
KIAA1841	K3
AHSA2	K3
USP34	K1
RP11-355B11.2	K4
XPO1	K3
FAM161A	K2
CCT4	K2
COMMD1	K3
AC018462.2	K3
AC093159.1	K4
TMEM17	K3
EHBP1	K3
WDPCP	K3
MDH1	K3
UGP2	K3
VPS54	K3
PELI1	K3
LGALSL	K1
RP11-568N6.1	K1
AFTPH	K5
AC007365.1	K5
SERTAD2	K5
AC007365.3	K5
SLC1A4	K3
CEP68	K2
ACTR2	K3
SPRED2	K3
MEIS1	K2
ETAA1	K3
C1D	K5
PNO1	K2
PPP3R1	K5
RP11-474G23.3	K1
CNRIP1	K2
PLEK	K1
FBXO48	K5
APLF	K5
ARHGAP25	K1
AC097495.2	K5
GKN2	K4
GFPT1	K2
NFU1	K3
RP11-427H3.3	K5
AAK1	K5
ANXA4	K2
GMCL1	K2
SNRNP27	K3
MXD1	K2
AC019206.1	K1
ASPRV1	K1
PCBP1-AS1	K1
PCBP1	K1
C2orf42	K3
TIA1	K3
PCYOX1	K2
SNRPG	K3
FAM136A	K2
TGFA	K1
ADD2	K3
AC007395.3	K4
ATP6V1B1	K5
ANKRD53	K5
TEX261	K2
NAGK	K3
RP11-467P9.1	K1
MCEE	K3
MPHOSPH10	K2
PAIP2B	K4
ZNF638	K3
DYSF	K4
EXOC6B	K2
SPR	K2
SFXN5	K3
SMYD5	K2
PRADC1	K2
CCT7	K3
FBXO41	K1
ALMS1	K3
TPRKB	K3
DUSP11	K2
STAMBP	K3
DGUOK	K2
DGUOK-AS1	K3
AC073046.25	K3
TET3	K4
BOLA3	K3
BOLA3-AS1	K2
MOB1A	K2
MTHFD2	K3
DCTN1	K3
C2orf81	K1
WDR54	K2
RTKN	K1
INO80B	K5
WBP1	K5
MOGS	K2
CCDC142	K3
TTC31	K3
LBX2-AS1	K5
PCGF1	K2
AUP1	K3
HTRA2	K3
LOXL3	K1
DOK1	K2
M1AP	K1
SEMA4F	K2
RP11-259N19.1	K1
HK2	K2
AC104135.3	K3
POLE4	K3
MRPL19	K3
GCFC2	K3
RP11-342K6.1	K3
SUCLG1	K3
TMSB10	K2
KCMF1	K4
TCF7L1	K1
TGOLN2	K2
RETSAT	K2
ELMOD3	K3
CAPG	K1
SH2D6	K5
MAT2A	K3
GGCX	K2
VAMP8	K2
VAMP5	K5
RNF181	K1
TMEM150A	K2
USP39	K3
C2orf68	K3
GNLY	K1
POLR1A	K2
PTCD3	K3
IMMT	K3
RP11-301O19.1	K3
MRPL35	K3
REEP1	K3
KDM3A	K5
CHMP3	K3
AC015971.2	K4
RNF103	K5
RMND5A	K5
CD8A	K5
PLGLB1	K5
LINC00152	K3
RP11-1399P15.1	K4
RGPD2	K5
KRCC1	K3
THNSL2	K1
EIF2AK3	K1
AC062029.1	K3
RPIA	K5
MRPS5	K2
ZNF514	K2
ZNF2	K2
AC092835.2	K2
FAHD2A	K3
RP11-440D17.3	K2
LINC00342	K2
ANKRD36C	K3
GPAT2	K2
DUSP2	K2
STARD7	K2
TMEM127	K1
CIAO1	K2
SNRNP200	K3
AC021188.4	K1
ITPRIPL1	K2
NCAPH	K3
ARID5A	K2
KANSL3	K5
LMAN2L	K3
CNNM4	K1
RP11-353K11.1	K1
CNNM3	K1
ANKRD23	K1
ANKRD39	K3
SEMA4C	K2
FAM178B	K2
FAHD2B	K2
ANKRD36	K3
AC159540.1	K1
COX5B	K2
ACTR1B	K3
LINC01125	K3
TMEM131	K3
INPP4A	K3
COA5	K3
MGAT4A	K1
TSGA10	K4
LIPT1	K5
LYG2	K1
LYG1	K1
TXNDC9	K3
EIF5B	K3
REV1	K3
LONRF2	K3
CHST10	K2
PDCL3	K2
RPL31	K3
TBC1D8	K2
RP11-299H21.1	K2
CNOT11	K3
RNF149	K2
RFX8	K1
MAP4K4	K4
IL1R1	K4
AC007271.3	K4
IL1RL1	K1
IL18R1	K1
IL18RAP	K1
SLC9A2	K2
MFSD9	K2
TMEM182	K2
MRPS9	K3
TGFBRAP1	K2
RP11-332H14.2	K2
C2orf49	K2
FHL2	K3
AC012360.6	K4
NCK2	K1
AC009505.2	K1
UXS1	K3
ST6GAL2	K1
GCC2	K5
AC012487.2	K2
LIMS1	K3
RANBP2	K3
CCDC138	K2
SEPT10	K1
SOWAHC	K1
NPHP1	K1
LINC00116	K3
BUB1	K3
ACOXL	K5
AC096670.3	K5
BCL2L11	K4
MIR4435-1HG	K1
RP11-181E10.3	K1
RP11-803D5.4	K1
AC017002.1	K1
AC017002.2	K3
ANAPC1	K2
MERTK	K1
TMEM87B	K3
ZC3H8	K2
ZC3H6	K4
TTL	K3
POLR1B	K2
CHCHD5	K3
AC079922.3	K1
SLC20A1	K4
NT5DC4	K1
CKAP2L	K3
IL1A	K4
IL1B	K1
IL1RN	K5
PSD4	K2
PAX8	K2
RP11-65I12.1	K2
CBWD2	K2
RP11-395L14.4	K4
SLC35F5	K1
AC104653.1	K1
RP11-141B14.1	K2
ACTR3	K3
AC110769.3	K1
DDX18	K2
AC009404.2	K4
CCDC93	K3
AC009303.1	K1
INSIG2	K3
STEAP3	K3
STEAP3-AS1	K4
DBI	K2
TMEM177	K2
PTPN4	K5
EPB41L5	K2
TMEM185B	K2
RALB	K2
CLASP1	K3
RP11-204L24.2	K1
NIFK-AS1	K3
NIFK	K2
TSN	K2
AC018737.3	K5
GYPC	K4
BIN1	K1
ERCC3	K3
MAP3K2	K5
AC068282.3	K1
IWS1	K3
WDR33	K3
RP5-935K16.1	K3
POLR2D	K3
AMMECR1L	K1
RP11-395A13.2	K3
SAP130	K3
UGGT1	K3
HS6ST1	K1
SMPD4	K3
MZT2B	K3
CCDC115	K2
IMP4	K2
PTPN18	K3
FAM168B	K2
PLEKHB2	K2
MZT2A	K3
TUBA3D	K1
C2orf27A	K2
MGAT5	K1
TMEM163	K1
CCNT2	K3
RAB3GAP1	K3
ZRANB3	K3
R3HDM1	K3
UBXN4	K3
MCM6	K3
DARS	K3
AC093391.2	K2
AC097721.2	K2
SPOPL	K3
KYNU	K2
ARHGAP15	K3
RP11-190J23.1	K1
AC096558.1	K1
RP11-570L15.2	K1
RP11-570L15.1	K1
AC092652.1	K1
RP11-434H14.1	K1
GTDC1	K3
ZEB2	K3
ZEB2-AS1	K1
ACVR2A	K2
ORC4	K2
MBD5	K5
EPC2	K1
MMADHC	K5
RBM43	K2
NMI	K2
TNFAIP6	K2
RIF1	K3
STAM2	K5
FMNL2	K5
PRPF40A	K3
ARL6IP6	K3
NR4A2	K5
GPD2	K3
GALNT5	K4
ERMN	K5
CYTIP	K1
ACVR1	K1
PKP4	K3
AC005042.4	K3
TANC1	K3
WDSUB1	K2
BAZ2B	K1
AC009506.1	K1
AC009961.3	K3
MARCH7	K2
CD302	K1
LY75	K1
TANK	K4
PSMD14	K3
DPP4	K1
IFIH1	K3
GCA	K3
COBLL1	K3
AC019181.2	K4
GALNT3	K1
TTC21B	K5
SCN9A	K2
XIRP2	K5
STK39	K1
CERS6	K2
NOSTRIN	K3
SPC25	K3
DHRS9	K1
BBS5	K2
FASTKD1	K3
PPIG	K3
CCDC173	K3
PHOSPHO2	K3
KLHL23	K2
SSB	K2
METTL5	K3
UBR3	K3
GAD1	K3
GORASP2	K2
TLK1	K3
METTL8	K2
DCAF17	K3
CYBRD1	K4
DYNC1I2	K3
SLC25A12	K2
HAT1	K3
METAP1D	K2
DLX2	K5
ITGA6	K1
AC093818.1	K1
PDK1	K2
MLTK	K5
MLK7-AS1	K1
CDCA7	K2
SP3	K3
RP11-394I13.2	K4
OLA1	K3
CIR1	K5
SCRN3	K3
GPR155	K3
WIPF1	K2
ATF2	K3
ATP5G3	K3
KIAA1715	K3
MTX2	K3
HNRNPA3	K3
NFE2L2	K5
AGPS	K3
TTC30B	K3
TTC30A	K2
RBM45	K3
AC009948.5	K2
PRKRA	K2
DFNB59	K1
FKBP7	K2
PLEKHA3	K3
TTN-AS1	K1
TTN	K3
SESTD1	K3
ZNF385B	K4
CWC22	K3
UBE2E3	K3
ITGA4	K3
CERKL	K3
SSFA2	K3
DNAJC10	K3
NCKAP1	K3
DUSP19	K3
NUP35	K3
ZNF804A	K1
FSIP2	K1
AC097500.2	K1
ZC3H15	K2
ITGAV	K1
FAM171B	K1
AC007319.1	K4
CALCRL	K1
TFPI	K3
GULP1	K5
COL5A2	K2
WDR75	K2
SLC40A1	K5
ASNSD1	K5
ANKAR	K2
OSGEPL1	K2
PMS1	K2
C2orf88	K4
HIBCH	K2
INPP1	K2
MFSD6	K5
RP11-647K16.1	K4
TMEM194B	K3
AC093388.3	K3
NAB1	K3
GLS	K1
STAT1	K3
STAT4	K1
NABP1	K2
SDPR	K2
AC098617.1	K2
TMEFF2	K2
SLC39A10	K2
DNAH7	K1
STK17B	K5
RP11-347P5.1	K5
AC020571.3	K1
CCDC150	K3
GTF3C3	K3
PGAP1	K1
ANKRD44	K1
SF3B1	K5
COQ10B	K5
HSPD1	K2
HSPE1	K2
RFTN2	K1
MARS2	K2
FTCDNL1	K2
C2orf69	K3
C2orf47	K2
SPATS2L	K1
KCTD18	K3
SGOL2	K3
BZW1	K2
RP11-469M7.1	K2
CLK1	K5
PPIL3	K3
NIF3L1	K3
ORC2	K3
FAM126B	K3
NDUFB3	K3
CFLAR	K1
CFLAR-AS1	K1
CASP10	K2
CASP8	K2
ALS2CR12	K5
TRAK2	K5
STRADB	K5
ALS2CR11	K4
TMEM237	K3
ALS2	K1
CDK15	K1
FZD7	K1
SUMO1	K3
NOP58	K2
RP11-686O6.2	K2
BMPR2	K3
FAM117B	K2
ICA1L	K2
WDR12	K2
CARF	K3
CYP20A1	K3
ABI2	K3
PARD3B	K1
INO80D	K3
NDUFS1	K3
EEF1B2	K3
ZDBF2	K1
DYTN	K1
MDH1B	K2
FASTKD2	K3
KLF7	K1
CREB1	K4
METTL21A	K3
CCNYL1	K4
FZD5	K4
AC096772.6	K5
PLEKHM3	K5
CRYGD	K1
IDH1	K2
IDH1-AS1	K2
PIKFYVE	K5
PTH2R	K2
MAP2	K5
RPE	K3
KANSL1L	K1
RP11-260M2.1	K3
AC007038.7	K1
AC007970.1	K3
LANCL1	K3
CPS1	K2
IKZF2	K1
SPAG16	K3
BARD1	K3
AC072062.1	K1
ATIC	K2
FN1	K2
LINC00607	K4
MREG	K2
PECR	K2
XRCC5	K3
RP11-566E18.3	K2
SMARCAL1	K3
RPL37A	K3
IGFBP2	K1
DIRC3	K5
TNS1	K5
CXCR2	K1
CXCR1	K1
ARPC2	K3
GPBAR1	K1
AAMP	K2
PNKD	K5
TMBIM1	K4
AC021016.8	K5
C2orf62	K1
SLC11A1	K2
CTDSP1	K3
VIL1	K5
USP37	K3
RQCD1	K3
PLCD4	K3
ZNF142	K3
BCS1L	K2
RNF25	K3
STK36	K3
TTLL4	K3
CCDC108	K5
RP11-33O4.1	K1
NHEJ1	K5
SLC23A3	K5
CNPPD1	K5
FAM134A	K5
ZFAND2B	K5
ABCB6	K5
ATG9A	K5
ANKZF1	K5
STK16	K5
TUBA4A	K5
DNAJB2	K5
PTPRN	K5
DNPEP	K2
DES	K2
GMPPA	K3
ASIC4	K5
CHPF	K1
TMEM198	K1
OBSL1	K1
INHA	K1
STK11IP	K3
SGPP2	K1
RP11-16P6.1	K2
FARSB	K3
ACSL3	K3
SCG2	K1
AP1S3	K2
WDFY1	K3
MRPL44	K2
SERPINE2	K2
FAM124B	K2
CUL3	K1
DOCK10	K1
RHBDD1	K4
COL4A4	K4
AC097662.2	K2
MFF	K3
AGFG1	K4
TRIP12	K5
FBXO36	K3
SLC16A14	K2
SP110	K2
SP140L	K2
SP100	K5
ITM2C	K2
PSMD1	K3
HTR2B	K4
ARMC9	K2
B3GNT7	K3
AC017104.2	K2
NCL	K2
PTMA	K3
PDE6D	K3
COPS7B	K2
DIS3L2	K3
CHRNG	K2
TIGD1	K3
EIF4E2	K2
GIGYF2	K2
KCNJ13	K4
C2orf82	K5
INPP5D	K3
ATG16L1	K3
DGKD	K2
USP40	K2
MROH2A	K1
HJURP	K4
ARL4C	K1
SH3BP4	K1
AGAP1	K3
AC105760.2	K2
COPS8	K3
LRRFIP1	K2
RAMP1	K1
UBE2F	K3
SCLY	K2
ESPNL	K4
FAM132B	K4
ILKAP	K3
AC016757.3	K3
HES6	K3
PER2	K3
TRAF3IP1	K2
ASB1	K3
AC016999.2	K4
AC062017.1	K4
NDUFA10	K3
MYEOV2	K3
GPC1	K1
ANKMY1	K3
DUSP28	K1
RNPEPL1	K3
CAPN10-AS1	K3
CAPN10	K1
GPR35	K1
SNED1	K1
MTERFD2	K3
PASK	K3
PPP1R7	K3
ANO7	K1
HDLBP	K3
AC005104.3	K4
FARP2	K3
STK25	K3
THAP4	K2
ATG4B	K3
DTYMK	K3
ING5	K3
D2HGDH	K2
AC131097.3	K1
AC093642.3	K1
IL5RA	K1
TRNT1	K2
CRBN	K2
RP11-97C16.1	K2
SUMF1	K3
SETMAR	K2
ITPR1-AS1	K2
ITPR1	K1
EGOT	K1
AC018816.3	K1
BHLHE40-AS1	K1
BHLHE40	K1
ARL8B	K1
EDEM1	K1
LMCD1	K4
SSUH2	K5
OXTR	K2
RAD18	K3
SRGAP3	K1
SRGAP3-AS2	K1
SETD5-AS1	K1
THUMPD3	K3
SETD5	K1
RP11-58B17.2	K4
MTMR14	K5
CPNE9	K2
BRPF1	K1
OGG1	K3
CAMK1	K1
TADA3	K3
ARPC4	K1
TTLL3	K1
RPUSD3	K2
CIDEC	K5
JAGN1	K2
IL17RE	K1
IL17RC	K3
CRELD1	K1
PRRT3	K5
PRRT3-AS1	K5
RP11-1020A11.2	K5
EMC3	K5
AC022007.5	K5
FANCD2	K3
FANCD2OS	K4
BRK1	K3
IRAK2	K5
TATDN2	K3
GHRL	K1
ATG7	K3
VGLL4	K2
TAMM41	K3
TSEN2	K2
MKRN2	K3
RAF1	K3
TMEM40	K1
CAND2	K2
RPL32	K3
IQSEC1	K4
NUP210	K3
HDAC11	K3
FBLN2	K2
CHCHD4	K2
TMEM43	K2
AC093495.4	K2
XPC	K2
LSM3	K3
SLC6A6	K1
CCDC174	K5
C3orf20	K5
FGD5	K1
FGD5-AS1	K3
NR2C2	K4
MRPS25	K2
ZFYVE20	K4
CAPN7	K2
SH3BP5-AS1	K1
SH3BP5	K1
METTL6	K3
EAF1	K5
EAF1-AS1	K5
COLQ	K4
HACL1	K2
ANKRD28	K1
DPH3	K5
OXNAD1	K2
RFTN1	K2
RP11-415F23.3	K1
PLCL2	K5
PLCL2-AS1	K5
TBC1D5	K3
SATB1	K1
EFHB	K2
RAB5A	K5
PP2D1	K5
KAT2B	K4
SGOL1	K3
ZNF385D	K1
UBE2E2	K1
UBE2E1	K2
NKIRAS1	K2
RPL15	K3
NR1D2	K5
THRB	K3
RARB	K1
TOP2B	K1
NGLY1	K2
OXSM	K3
NEK10	K2
SLC4A7	K2
CMC1	K3
AZI2	K3
TGFBR2	K1
STT3B	K3
OSBPL10	K1
GPD1L	K2
CMTM7	K2
CMTM6	K2
DYNC1LI1	K3
CNOT10	K3
CCR4	K2
GLB1	K3
TMPPE	K4
CRTAP	K2
FBXL2	K1
UBP1	K2
CLASP2	K3
RP11-10C24.3	K2
RP11-10C24.1	K2
PDCD6IP	K3
STAC	K2
TRANK1	K5
RP11-129K12.4	K4
EPM2AIP1	K4
MLH1	K3
LRRFIP2	K3
RP11-259K5.2	K3
GOLGA4	K4
C3orf35	K5
ITGA9	K1
CTDSPL	K3
VILL	K2
PLCD1	K2
DLEC1	K1
ACAA1	K3
MYD88	K3
OXSR1	K4
SLC22A13	K5
SLC22A14	K5
XYLB	K2
ACVR2B	K3
EXOG	K2
WDR48	K5
GORASP1	K3
TTC21A	K5
CSRNP1	K5
CX3CR1	K1
SLC25A38	K4
RPSA	K3
MYRIP	K1
EIF1B	K5
RPL14	K3
RP11-391M1.4	K2
ZNF619	K3
ZNF620	K3
ZNF621	K3
CTNNB1	K3
ULK4	K2
TRAK1	K1
SEC22C	K3
SS18L2	K3
NKTR	K1
ZBTB47	K1
CCDC13	K5
HHATL	K5
CCDC13-AS1	K5
HIGD1A	K3
ACKR2	K4
CYP8B1	K4
ZNF662	K1
POMGNT2	K3
SNRK	K5
RP11-188P20.3	K1
ANO10	K3
ABHD5	K5
TCAIM	K3
LINC00694	K2
ZNF445	K3
ZNF852	K3
ZKSCAN7	K1
RP11-944L7.4	K2
ZNF660	K1
ZNF197	K3
ZNF35	K2
RP11-348P10.2	K2
ZNF502	K2
ZNF501	K2
KIAA1143	K3
KIF15	K3
TMEM42	K2
ZDHHC3	K3
EXOSC7	K2
CDCP1	K1
TMEM158	K5
LARS2	K3
LIMD1	K3
SACM1L	K3
SLC6A20	K5
LZTFL1	K5
FYCO1	K4
CXCR6	K4
CCR3	K1
CCR1	K1
CCR2	K1
RP11-24F11.2	K5
CCR5	K1
CCRL2	K5
LTF	K4
RTP3	K4
LRRC2	K5
LUZPP1	K5
ALS2CL	K1
NBEAL2	K2
SETD2	K1
KIF9-AS1	K2
KIF9	K2
KLHL18	K3
PTPN23	K1
SCAP	K2
ELP6	K3
CSPG5	K2
SMARCC1	K2
DHX30	K3
MAP4	K2
CDC25A	K3
ZNF589	K2
NME6	K2
PLXNB1	K1
CCDC51	K2
ATRIP	K3
TREX1	K3
SHISA5	K3
PFKFB4	K2
COL7A1	K1
UQCRC1	K3
SLC26A6	K3
CELSR3	K1
NCKIPSD	K3
IP6K2	K1
PRKAR2A	K3
PRKAR2A-AS1	K2
SLC25A20	K3
ARIH2OS	K4
ARIH2	K2
WDR6	K3
DALRD3	K2
NDUFAF3	K3
IMPDH2	K2
RP13-131K19.6	K5
QRICH1	K3
QARS	K3
USP19	K1
LAMB2	K1
KLHDC8B	K5
C3orf84	K5
CCDC36	K5
RP11-3B7.1	K5
C3orf62	K1
USP4	K3
GPX1	K1
RHOA	K3
TCTA	K2
AMT	K2
NICN1	K2
DAG1	K3
BSN	K4
APEH	K3
MST1	K4
RNF123	K4
GMPPB	K4
IP6K1	K5
FAM212A	K2
UBA7	K3
TRAIP	K3
MST1R	K2
MON1A	K2
RBM6	K3
RBM5	K4
RP11-493K19.3	K4
GNAI2	K1
U73166.2	K1
LSMEM2	K5
IFRD2	K5
HYAL3	K1
NAT6	K1
HYAL1	K5
HYAL2	K3
TUSC2	K3
RASSF1	K3
ZMYND10	K1
NPRL2	K3
CYB561D2	K2
TMEM115	K5
C3orf18	K1
HEMK1	K2
CISH	K4
MAPKAPK3	K2
RP11-804H8.6	K1
DOCK3	K3
MANF	K1
RBM15B	K2
VPRBP	K2
RAD54L2	K3
TEX264	K2
RRP9	K2
PARP3	K3
PCBP4	K1
ABHD14B	K2
ABHD14A	K2
ACY1	K2
RPL29	K3
DUSP7	K2
POC1A	K3
ALAS1	K1
TLR9	K1
TWF2	K2
PPM1M	K1
WDR82	K2
GLYCTK	K3
DNAH1	K1
BAP1	K4
SEMA3G	K2
NISCH	K3
STAB1	K1
NT5DC2	K2
SMIM4	K2
PBRM1	K3
GNL3	K2
GLT8D1	K2
SPCS1	K2
NEK4	K3
SFMBT1	K3
RP11-894J14.5	K1
RFT1	K3
PRKCD	K1
TKT	K2
DCP1A	K5
CACNA1D	K1
CHDH	K1
IL17RB	K1
RP11-884K10.7	K1
ACTR8	K2
SELK	K5
FAM208A	K3
ARHGEF3	K1
HESX1	K1
APPL1	K1
ASB14	K1
DNAH12	K5
PDE12	K3
ARF4	K5
RP11-755B10.4	K5
DENND6A	K3
RP11-755B10.2	K5
SLMAP	K2
FLNB	K2
FLNB-AS1	K1
ABHD6	K1
RPP14	K2
PXK	K1
PDHB	K3
KCTD6	K3
C3orf67	K4
FHIT	K2
PTPRG	K3
C3orf14	K2
ATXN7	K1
PSMD6-AS2	K5
RP11-245J9.5	K4
PSMD6	K3
RP11-245J9.6	K4
SLC25A26	K2
LRIG1	K2
KBTBD8	K3
SUCLG2	K3
EOGT	K2
CTD-2013N24.2	K5
TMF1	K5
UBA3	K3
ARL6IP5	K3
FRMD4B	K1
MITF	K3
FOXP1	K5
FOXP1-AS1	K5
RP11-154H23.3	K5
EIF4E3	K1
GPR27	K1
LINC00877	K5
RYBP	K5
SHQ1	K2
EBLN2	K1
RP11-803B1.8	K4
LINC00960	K2
ZNF717	K2
GBE1	K2
CHMP2B	K3
HTR1F	K1
CGGBP1	K4
RP11-159G9.5	K4
ZNF654	K4
PROS1	K4
ARL13B	K5
STX19	K4
DHFRL1	K2
NSUN3	K5
ARL6	K2
CRYBG3	K1
MINA	K2
CLDND1	K3
CPOX	K4
RP11-227H4.5	K5
GPR15	K5
ST3GAL6	K1
DCBLD2	K3
CMSS1	K2
FILIP1L	K1
TBC1D23	K4
NIT2	K2
RP11-114I8.4	K1
LNP1	K3
TMEM45A	K2
ABI3BP	K1
SENP7	K3
TRMT10C	K2
PCNP	K3
ZBTB11	K2
ZBTB11-AS1	K2
RPL24	K3
CEP97	K3
NXPE3	K2
NFKBIZ	K4
ALCAM	K1
CBLB	K3
LINC00883	K2
BBX	K2
CD47	K3
IFT57	K2
MYH15	K1
KIAA1524	K3
DZIP3	K3
MORC1	K3
DPPA4	K2
CD96	K2
PLCXD2	K2
ABHD10	K3
C3orf52	K2
GCSAM	K2
BTLA	K5
ATG3	K4
CD200R1L	K1
CD200R1	K1
GTPBP8	K3
C3orf17	K2
BOC	K5
WDR52	K1
SPICE1	K3
SIDT1	K1
KIAA2018	K1
NAA50	K2
