gene	cluster
ZDHHC18	K2
GPN2	K2
GPATCH3	K5
NUDC	K2
SLC9A1	K1
WDTC1	K4
TMEM222	K3
SYTL1	K2
MAP3K6	K2
GPR3	K5
WASF2	K5
AHDC1	K3
FGR	K1
IFI6	K1
FAM76A	K3
STX12	K2
PPP1R8	K3
THEMIS2	K2
SMPDL3B	K2
XKR8	K2
PTAFR	K1
DNAJC8	K2
ATPIF1	K3
RP5-1092A3.4	K1
SESN2	K5
MED18	K3
PHACTR4	K3
RCC1	K2
TRNAU1AP	K3
SNHG12	K2
TAF12	K3
GMEB1	K3
YTHDF2	K2
EPB41	K5
SRSF4	K3
MECR	K3
RP11-467D18.2	K2
PTPRU	K1
MATN1	K4
MATN1-AS1	K5
LAPTM5	K2
SDC3	K2
PUM1	K2
NKAIN1	K5
SNRNP40	K3
ZCCHC17	K2
RP11-266K22.2	K4
SERINC2	K4
RP11-439L8.3	K1
RP11-439L8.4	K1
PEF1	K3
AL136115.1	K3
KHDRBS1	K3
TMEM39B	K2
KPNA6	K5
TXLNA	K3
CCDC28B	K3
IQCC	K3
TMEM234	K3
EIF3I	K2
HDAC1	K3
MARCKSL1	K2
TSSK3	K2
FAM229A	K5
BSDC1	K5
ZBTB8A	K1
ZBTB8OS	K3
RBBP4	K3
SYNC	K5
RP11-114B7.6	K5
KIAA1522	K3
YARS	K2
S100PBP	K3
RNF19B	K5
RP1-117O3.2	K1
AK2	K2
ADC	K1
TRIM62	K1
ZNF362	K2
RP11-415J8.7	K1
PHC2	K3
RP11-415J8.5	K2
ZSCAN20	K3
SMIM12	K2
GJB5	K5
GJB4	K5
GJB3	K1
GJA4	K1
RP5-997D16.2	K4
ZMYM6	K3
ZMYM1	K3
ZMYM4	K3
KIAA0319L	K2
NCDN	K2
RP4-728D4.2	K1
TFAP2E	K1
PSMB2	K3
C1orf216	K2
CLSPN	K3
AGO4	K1
AGO1	K2
AGO3	K3
ADPRHL2	K2
TRAPPC3	K2
MAP7D1	K1
THRAP3	K2
SH3D21	K1
EVA1B	K1
RP11-268J15.5	K1
STK40	K5
LSM10	K5
OSCP1	K2
MRPS15	K3
CSF3R	K1
LINC01137	K1
ZC3H12A	K1
MEAF6	K3
SNIP1	K2
GNL2	K3
C1orf109	K5
CDCA8	K3
YRDC	K1
C1orf122	K1
MTF1	K1
INPP5B	K3
SF3A3	K2
FHL3	K2
UTP11L	K2
RRAGC	K5
RP5-864K19.4	K5
MYCBP	K2
RHBDL2	K5
AKIRIN1	K2
NDUFS5	K3
MACF1	K2
KIAA0754	K2
RP11-69E11.4	K1
PABPC4	K3
HEYL	K2
PPIE	K3
BMP8B	K1
TRIT1	K2
MFSD2A	K2
CAP1	K2
PPT1	K2
RLF	K5
RP1-39G22.7	K3
ZMPSTE24	K3
COL9A2	K1
SMAP2	K4
ZFP69B	K2
ZFP69	K2
EXO5	K3
RP11-656D10.6	K2
ZNF684	K2
RIMS3	K3
NFYC-AS1	K3
NFYC	K3
KCNQ4	K3
CTPS1	K3
SLFNL1	K3
SCMH1	K3
HIVEP3	K1
FOXJ3	K2
ZMYND12	K1
PPCS	K3
PPIH	K3
YBX1	K4
LEPRE1	K3
C1orf50	K3
CCDC23	K5
ERMAP	K4
RP11-342M1.3	K4
ZNF691	K2
SLC2A1	K5
SLC2A1-AS1	K5
EBNA1BP2	K2
WDR65	K5
TIE1	K1
MPL	K1
CDC20	K3
ELOVL1	K3
MED8	K3
SZT2	K3
HYI	K4
PTPRF	K5
KDM4A	K3
KDM4A-AS1	K3
ST3GAL3	K3
RP11-184I16.4	K3
RP11-7O11.3	K2
IPO13	K3
DPH2	K2
ATP6V0B	K1
B4GALT2	K2
CCDC24	K4
SLC6A9	K4
RP5-1198O20.4	K5
DMAP1	K3
ERI3	K2
RNF220	K3
TMEM53	K2
C1orf228	K1
KIF2C	K3
RP11-269F19.2	K4
RPS8	K3
PLK3	K1
BTBD19	K1
PTCH2	K4
EIF2B3	K2
HECTD3	K4
UROD	K4
ZSWIM5	K4
HPDL	K2
MUTYH	K3
TOE1	K3
TESK2	K4
CCDC163P	K2
MMACHC	K2
PRDX1	K2
AKR1A1	K2
NASP	K3
CCDC17	K5
GPBP1L1	K5
TMEM69	K2
IPP	K3
MAST2	K3
PIK3R3	K3
POMGNT1	K2
RAD54L	K3
UQCRH	K3
NSUN4	K2
FAAH	K1
DMBX1	K3
MKNK1-AS1	K4
KNCN	K4
MKNK1	K5
MOB3C	K5
ATPAF1	K3
EFCAB14	K3
TEX38	K1
EFCAB14-AS1	K1
CYP4Z1	K5
CYP4A22-AS1	K5
CYP4A22	K5
LINC00853	K5
PDZK1IP1	K5
TAL1	K4
RP1-18D14.7	K4
STIL	K3
CMPK1	K3
FOXD2-AS1	K3
