gene	cluster
AC009120.4	K6
AC009120.5	K3
AC009120.6	K1
AC009133.17	K3
AC009303.1	K1
AC009403.2	K2
AC009404.2	K7
AC009505.2	K1
AC009506.1	K1
AC009518.8	K1
AC009542.2	K1
AC009948.5	K2
AC009961.3	K4
AC009970.1	K1
AC010504.2	K7
AC010525.6	K7
AC010525.7	K3
AC010536.1	K5
AC010642.1	K4
AC010761.13	K6
AC010761.8	K2
AC011747.4	K6
AC011747.7	K7
AC012314.8	K1
AC012358.8	K1
AC012360.6	K1
AC012487.2	K5
AC013449.1	K6
AC015849.16	K2
AC015971.2	K1
AC015987.1	K1
AC016586.1	K6
AC016629.3	K6
AC016629.8	K6
AC016722.4	K3
AC016757.3	K5
AC016831.7	K7
AC016907.3	K7
AC016999.2	K6
AC017002.1	K3
AC017002.2	K5
AC017076.5	K7
AC017104.2	K2
AC018462.2	K4
AC018737.3	K7
AC018755.1	K6
AC018766.5	K6
AC018766.6	K1
AC018816.3	K1
AC019181.2	K6
AC019206.1	K3
AC020571.3	K3
AC021016.8	K7
AC021188.4	K1
AC021224.1	K5
AC021860.1	K7
AC022007.5	K7
AC022154.7	K3
AC022498.1	K1
AC022532.1	K3
AC025171.1	K4
AC025287.1	K7
AC025335.1	K2
AC026740.1	K4
AC026806.2	K3
AC027307.3	K3
AC027601.1	K6
AC027763.2	K6
AC034228.4	K6
AC051642.1	K6
AC062017.1	K5
AC062029.1	K2
AC068282.3	K3
AC068580.6	K6
AC068831.6	K6
AC069278.4	K2
AC069547.1	K6
AC069547.2	K6
AC072062.1	K1
AC073046.25	K4
AC073333.8	K1
AC073343.1	K1
AC074117.10	K1
AC074138.3	K4
AC074389.9	K5
AC079210.1	K7
AC079807.2	K1
AC079807.4	K6
AC079922.3	K1
AC084018.1	K6
AC084125.4	K6
AC084219.4	K5
AC084809.2	K7
AC087294.2	K1
AC091132.1	K7
AC091633.3	K1
AC092652.1	K1
AC092811.1	K1
AC092835.2	K1
AC093159.1	K6
AC093323.3	K2
AC093388.3	K4
AC093391.2	K4
AC093495.4	K1
AC093627.10	K1
AC093627.9	K4
AC093642.3	K1
AC093673.5	K1
AC093818.1	K1
AC096558.1	K1
AC096670.3	K7
AC096772.6	K1
AC097495.2	K7
AC097500.2	K2
AC097662.2	K1
AC097721.2	K4
AC097724.3	K4
AC098617.1	K2
AC099850.1	K4
AC100830.3	K1
AC104135.3	K2
AC104389.16	K6
AC104653.1	K3
AC105760.2	K2
AC108004.3	K1
AC108488.4	K5
AC109309.4	K6
AC109642.1	K6
AC110769.3	K1
AC110781.3	K5
AC110792.1	K1
AC113189.5	K5
AC115618.1	K3
AC116366.5	K7
AC116366.6	K7
AC123768.4	K1
AC124944.3	K7
AC131097.3	K1
AC131971.1	K1
AC132216.1	K4
AC132872.2	K1
AC135178.1	K1
AC137932.1	K6
AC137932.5	K6
AC137934.1	K1
AC138035.2	K3
AC138472.6	K6
AC139100.2	K7
AC139887.4	K6
AC144652.1	K1
AC147651.3	K6
AC147651.4	K5
AC159540.1	K3
AC226150.4	K2
ACAA1	K5
ACAA2	K4
ACACA	K2
ACACB	K2
ACAD10	K5
ACAD8	K4
ACAD9	K5
ACADM	K4
ACADSB	K2
ACADVL	K5
ACAP1	K4
ACAP2	K1
ACAP3	K5
ACAT1	K5
ACAT2	K4
ACBD4	K6
ACBD5	K2
ACBD6	K4
ACBD7	K1
ACCS	K2
ACD	K4
ACER2	K4
ACER3	K2
ACHE	K6
ACIN1	K2
ACKR2	K7
ACLY	K4
ACN9	K4
ACO1	K4
ACO2	K5
ACOT1	K4
ACOT11	K3
ACOT13	K2
ACOT2	K4
ACOT4	K4
ACOT7	K4
ACOT8	K5
ACOT9	K4
ACOX1	K2
ACOX3	K4
ACOXL	K7
ACP1	K6
ACP2	K5
ACP5	K7
ACP6	K2
ACPL2	K2
ACPT	K2
ACRBP	K1
ACRC	K7
ACRV1	K4
ACSBG1	K5
ACSBG2	K5
ACSF2	K4
ACSF3	K6
ACSL1	K3
ACSL3	K4
ACSL4	K4
ACSL5	K4
ACSL6	K6
ACSM1	K4
ACSM3	K2
ACSS1	K4
ACSS2	K5
ACTA2	K7
ACTA2-AS1	K1
ACTB	K3
ACTG1	K2
ACTL6A	K4
ACTN1	K2
ACTN2	K3
ACTN4	K2
ACTR10	K6
ACTR1A	K6
ACTR1B	K2
ACTR2	K2
ACTR3	K5
ACTR3B	K2
ACTR3C	K1
ACTR5	K5
ACTR6	K5
ACTR8	K2
ACTRT3	K5
ACVR1	K1
ACVR1B	K1
ACVR2A	K1
ACVR2B	K2
ACVRL1	K7
ACY1	K5
ACYP1	K4
ACYP2	K1
AD000090.2	K4
ADA	K4
ADAL	K4
ADAM10	K2
ADAM11	K3
ADAM12	K7
ADAM15	K5
ADAM17	K3
ADAM20	K6
ADAM20P1	K1
ADAM22	K1
ADAM28	K1
ADAM8	K3
ADAM9	K4
ADAMTS1	K1
ADAMTS10	K2
ADAMTS13	K3
ADAMTS14	K5
ADAMTS3	K5
ADAMTS4	K6
ADAMTS6	K1
ADAMTSL4	K3
ADAMTSL4-AS1	K6
ADAMTSL5	K5
ADAP1	K3
ADAR	K1
ADARB1	K2
ADAT1	K5
ADAT2	K4
ADC	K3
ADCK1	K5
ADCK2	K2
ADCK3	K4
ADCK4	K5
