P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000070444_LINE87_MNT_D -1.0812730800344 -0.92074313371716 -0.033039868136943 -0.364959173496113 -4.71230188885578 -2.65886184943153 2.73936162614363 3.11835504025365
ENSG00000071564_LINE91_TCF3_D_N2 -7.4214792210364 -5.14880943098784 -2.30772980113886 -0.144071257729904 4.56216847033907 7.54052368561214 2.27801322745715 -0.442210368834826
ENSG00000072310_LINE94_SREBF1_D_N3 -5.55203877359487 -1.52041823211074 1.07004530779123 -0.0689447639110063 -1.24864118762788 3.90999210859721 2.82898004511183 -1.03579253701571
ENSG00000090447_LINE107_TFAP4_D_N2 -0.843088829255046 -1.65145242068508 1.60573685155839 3.07197711688363 3.51816503028025 2.28947034347931 -1.67282817526333 -4.61738145412432
ENSG00000100644_LINE115_HIF1A_D 1.08456520267096 -1.48906164595706 -1.24270533462239 -1.92431685827658 -1.63647840051972 -0.75048067506735 2.38870631675293 2.12621528738024
ENSG00000101190_LINE116_TCFL5_I 4.22128901406916 -0.0489247628064498 -1.53339900868381 -0.57088136401579 3.13130130189304 -0.0857153302663298 -1.22688077527769 -1.58349853756139
ENSG00000105698_LINE126_USF2_D_N7 0.059310369002805 -5.30504839225866 -5.975244576329 -4.68741080548591 -6.27420898259804 -2.55869306617975 7.18628421232755 9.15657606883927
ENSG00000105967_LINE129_TFEC_D 0.665608398219133 -4.74800404499596 -5.57774465415288 -4.81534766055456 -6.78267790372921 -2.25853821463205 6.75285634501335 9.12781658278335
ENSG00000106546_LINE130_AHR_D_N1 0.577925259826161 -0.974887687471362 -1.5588642326553 -2.21544487084448 -2.09306484155085 0.442794691704891 2.22866461063782 2.75645581046509
ENSG00000108788_LINE134_MLX_D -0.705085293971116 -6.37967283012221 -6.92686956829015 -6.03953332982573 -4.97278660953912 -0.97626283341652 7.71201336392303 9.22182440277671
ENSG00000111046_LINE136_MYF6_D_N1 -0.413168046262699 0.770360801572955 2.03114223887333 3.82652799558891 0.351834799936264 -1.35995018959067 -2.08666037670209 -3.03997619358807
ENSG00000112246_LINE139_SIM1_I 0.888830760872704 -0.413080919722826 -1.13565285301341 -1.78237944353366 -1.71060365974842 -1.06812449843243 1.69418931301929 2.55315403090461
ENSG00000112561_LINE140_TFEB_D_N2 0.466557931529696 -5.63143036134015 -6.75115743309038 -6.63469908806249 -7.00876855995059 -1.74541621124974 9.1992649161906 11.1946530522073
ENSG00000113196_LINE142_HAND1_D -4.22127832200067 0.202156737548484 2.46509941394843 4.99745595190945 2.5361272082169 -0.377180570945459 -2.94890549367007 -3.56079285645218
ENSG00000114315_LINE146_HES1_D -2.59029469341876 -0.621907929876553 -0.814018661796451 -1.57856666964076 -1.3397293059319 0.258722081641188 2.29266256354827 1.4612791299773
ENSG00000115738_LINE147_ID2_I -1.18788940092919 -0.698845834994621 -0.270072915251187 -0.282348161488455 -3.70015323093559 -2.57048128235396 3.2547714849291 3.04611430898635
ENSG00000116016_LINE149_EPAS1_D -3.41161711494969 0.217252203763172 0.676277035313209 0.439308761467525 2.1574665153305 1.13927962786625 -0.364100490763141 -1.64736393732176
ENSG00000116990_LINE150_MYCL1_I 0.655575983482642 -1.10601489316103 -0.504503151127679 -1.18588686029395 -5.14659705885115 -3.25261347100293 3.40741572166949 4.24943078607013
ENSG00000117318_LINE151_ID3_I -12.7680394631736 -7.59305552094697 -2.22335170328145 -0.181030245068777 2.97518343624061 9.63928467129452 4.36640303597337 1.15331270221441
ENSG00000118526_LINE152_TCF21_I -4.36854610739665 -4.1667881534487 0.0220307116236619 4.32177351885194 5.63464063455207 2.78672505039083 -1.84621569728652 -4.99843421713185
ENSG00000119950_LINE154_MXI1_D_N1 0.948237620154467 -0.112025994461785 0.435711773476034 -0.186055759216189 -6.07414022165001 -5.18259206123231 2.91215194529169 3.39105308626359
ENSG00000122180_LINE160_MYOG_D -2.45496706241833 -3.19889816312545 -0.499874206068102 2.52811044422209 4.83539100506328 3.17189758284393 -0.773796811262615 -4.74737085520301
